minor_gid;major_id;minor_id;minor_name;registered_voters;votes
1087;47;29;Saločių;1089;468
1088;47;30;Žadeikonių;213;149
1089;47;31;Paežerio;849;477
1090;47;31;Žilpamūšio;453;211
1091;47;32;Grūžių;427;213
1092;47;33;Nairių;431;191
1093;47;34;Tetirvinų;637;301
1094;47;35;Vaškų;910;427
1095;47;44;Skaistgirių;436;195
1096;48;1;Atžalyno;2434;1094
1097;48;2;Alizavos;641;276
1098;48;2;Rotušės;1040;508
1099;48;3;Antašavos;627;347
1100;48;3;Aušros;2620;1290
1101;48;4;Aukštupėnų;774;329
1102;48;4;Saulės;2516;1265
1103;48;5;Kaštonų;3262;1503
1104;48;6;Anglininkų;291;131
1105;48;7;Kratiškių;593;304
1106;48;7;Račiupėnų;3113;1330
1107;48;8;Kupos;2056;925
1108;48;8;Nausėdžių;433;163
1109;48;9;Obelaukių;862;393
1110;48;9;Senamiesčio;1551;654
1111;48;10;Rinkuškių;1722;712
1112;48;11;Germaniškio;535;204
1113;48;12;Nemunėlio Radviliškio;817;342
1114;48;13;Pučiakalnės;311;110
1115;48;14;Kirdonių;729;315
1116;48;15;Pabiržės;937;407
1117;48;15;Paketurių;606;268
1118;48;16;Pačeriaukštės;454;181
1119;48;17;Pasvaliečių;481;218
1120;48;17;Salamiesčio;655;274
1121;48;18;Juostaviečių;406;193
1122;48;19;Einorių;333;172
1123;48;20;Kraštų;304;173
1124;48;21;Kupreliškio;389;221
1125;48;22;Kvetkų;406;179
1126;48;23;Papilio;517;259
1127;48;23;Virbališkių;303;116
1128;48;24;Medeikių;688;232
1129;48;24;Žaidelių;415;189
1130;48;25;Parovėjos;703;333
1131;48;26;Užušilių;555;190
1132;48;27;Ančiškių;324;154
1133;48;28;Jasiuliškių;298;162
1134;48;29;Meilūnų;402;200
1135;48;30;Ramongalių;374;161
1136;48;31;Šukionių;282;172
1137;48;32;Vabalninko;1116;563
1138;49;1;Adomynės;525;226
1139;49;1;Senamiesčio;3441;1747
1140;49;2;Janydžių;1783;989
1141;49;3;Ažupiečių;1716;851
1142;49;4;Liudiškių;2749;1240
1143;49;5;Biliūnų;231;111
1144;49;5;Piktagalio;497;236
1145;49;6;Ažuožerių;681;309
1146;49;6;Juodpėnų;316;148
1147;49;7;Elmos;1124;512
1148;49;8;Burbiškio;845;291
1149;49;9;Šlavėnų;411;140
1150;49;10;Debeikių;1302;529
1151;49;10;Laičių;278;135
1152;49;11;Leliūnų;392;169
1153;49;11;Lukonių;470;186
1154;49;12;Kavarsko;970;472
1155;49;12;Migonių;217;104
1156;49;13;Dabužių;265;101
1157;49;13;Naivių;382;150
1158;49;14;Janušavos;782;314
1159;49;14;Noriūnų;1531;614
1160;49;15;Svirnų;476;219
1161;49;16;Rudilių;480;186
1162;49;16;Šerių;405;180
1163;49;17;Šovenių;165;86
1164;49;18;Kurklių;545;266
1165;49;18;Skapiškio;731;346
1166;49;19;Kurklelių;395;166
1167;49;19;Skverbų;543;223
1168;49;20;Staškūniškio;396;201
1169;49;20;Subačiaus;959;440
1170;49;21;Katlėrių;336;147
1171;49;21;Šepetos;1028;382
1172;49;22;Skiemonių;542;248
1173;49;22;Šimonių;580;300
1174;49;23;Mačionių;317;158
1175;49;24;Daujočių;224;127
1176;49;25;Aulelių;175;98
1177;49;26;Svėdasų;1452;682
1178;49;27;Vaitkūnų;312;192
1179;49;28;Troškūnų;1420;571
1180;49;30;Vašuokėnų;192;96
1181;49;31;Surdegio;393;163
1182;49;32;Nausodės;196;95
1183;49;33;Raguvėlės;399;216
1184;49;34;Levaniškių;350;164
1185;49;35;Traupio;389;201
1186;49;36;Andrioniškio;493;260
1187;49;37;Viešintų;820;386
1188;50;1;J.Tumo-Vaižganto;2590;1245
1189;50;2;Senamiesčio;2742;1273
1190;50;3;Mikrorajono;1923;948
1191;50;4;J.Tūbelio;2894;1335
1192;50;5;Respublikos;2550;1260
1193;50;6;Bajorų;947;422
1194;50;7;Čedasų;243;118
1195;50;8;Kavoliškio;1573;637
1196;50;9;Skemų;728;252
