minor_gid;major_id;minor_id;minor_name;registered_voters;votes
1658;63;30;Patašinės;949;689
1659;63;31;Igliškėlių;408;284
1660;63;32;Liubavo;370;284
1661;63;33;Salaperaugio;407;253
1662;63;34;Netičkampio;696;445
1663;63;35;Apylinkė Nr. 35;509;412
1664;63;36;Želsvos;687;461
1665;63;37;Liudvinavo;1070;757
1666;63;38;Buktos;263;221
1667;63;39;Kūlokų;201;127
1668;63;40;Liucinavo;243;165
1669;63;41;Sangrūdos;552;412
1670;63;42;Mockų;395;281
1671;63;43;Radiškės;378;284
1672;63;44;Jusevičių;756;448
1673;63;45;Jungėnų;1139;771
1674;63;46;Brazavo;299;187
1675;63;48;Sūsninkų;292;169
1676;63;49;Tarprubežių;342;217
1677;63;50;Akmenynų;292;220
1678;63;51;Kampinių;332;246
1679;63;52;Jurgežerių;324;207
1680;63;53;Kalvarijos Vakarinė;2014;1512
1681;63;54;Apylinkė Nr. 54;1684;1310
1682;64;1;Apylinkė Nr. 1;1828;1427
1683;64;2;Apylinkė Nr. 2;1892;1472
1684;64;3;Apylinkė Nr. 3;1375;1072
1685;64;4;Barzdų;492;314
1686;64;5;Baltrušių;405;232
1687;64;6;Būblelių;517;343
1688;64;7;Panovių;573;396
1689;64;8;Gelgaudiškio;1734;1311
1690;64;9;Daukantiškių;923;572
1691;64;9;Plokščių;952;648
1692;64;10;Griškabūdžio;881;726
1693;64;11;Degutinės;257;206
1694;64;12;Patašinės;563;398
1695;64;13;Paluobių;500;353
1696;64;14;Jankų;650;369
1697;64;15;Būdos;408;265
1698;64;16;Kidulių;1594;1009
1699;64;17;Voverių;343;257
1700;64;18;Valenčiūnų;242;155
1701;64;19;Sudargo;893;752
1702;64;20;Kriūkų;1130;826
1703;64;21;Gerdžiūnų;703;411
1704;64;22;Lekėčių;1028;762
1705;64;23;Mikytų;400;259
1706;64;24;Lukšių;1559;1141
1707;64;25;Liepalotų;463;323
1708;64;26;Sintautų;616;481
1709;64;27;Veršių;538;388
1710;64;28;Keturnaujienos;434;311
1711;64;29;Žvirgždaičių;586;282
1712;64;30;Slavikų;697;512
1713;64;31;Gotlybiškių;333;255
1714;64;32;Duobiškių;237;152
1715;64;33;Išdagų;536;368
1716;64;34;Giedručių;725;545
1717;64;35;Ritinių;351;186
1718;64;36;Girėnų;848;655
1719;64;37;Briedžių;406;332
1720;64;38;Kudirkos Naumiesčio;1526;1205
1721;65;1;Angirių;211;159
1722;65;3;Ažytėnų;449;229
1723;65;4;Babtų;1755;1232
1724;65;5;Beinaičių;411;247
1725;65;5;Pagynės;733;483
1726;65;6;Panevėžiuko;1055;576
1727;65;7;Čekiškės;887;630
1728;65;8;Liučiūnų;674;532
1729;65;9;Domeikavos;2102;1519
1730;65;9;Josvainių;1512;1068
1731;65;10;Neries;1174;760
1732;65;11;Voškonių;1084;585
1733;65;12;Lapių;1328;805
1734;65;13;Krakių;960;673
1735;65;14;Kunionių;558;434
1736;65;15;Labūnavos;756;512
1737;65;17;Langakių;368;248
1738;65;20;Medėkšių;468;349
1739;65;21;Meironiškio;443;306
1740;65;23;Raudondvario;3568;2738
1741;65;24;Batniavos;1070;659
1742;65;24;Kaniūkų;448;319
1743;65;24;Nociūnų;411;321
1744;65;26;Paaluonio;277;204
1745;65;28;Pajieslio;507;300
1746;65;30;Pašušvio;441;332
1747;65;31;Pelėdnagių;807;618
1748;65;32;Pelutavos;411;323
1749;65;33;Užliedžių;1001;652
1750;65;34;Pernaravos;478;300
1751;65;34;Vandžiogalos;883;443
1752;65;35;Padauguvos;798;598
1753;65;36;Saulėtekių;634;445
1754;65;37;Daugėliškių;419;304
1755;65;37;Saviečių;214;136
1756;65;40;Skaistgirių;283;177
1757;65;45;Kulautuvos;915;737
1758;65;46;Vilkijos;1687;1362
1759;65;49;Vainikų;460;358
1760;65;127;Romainių;1348;1034
1761;66;1;Mastaičių;1240;959
1762;66;2;Pažėrų;734;477
