minor_gid,major_id,minor_id,minor_name,registered_voters,votes
662408,22,3,Pušų,684,375
662410,36,1,Kaštonų,1456,806
662412,36,2,Ateities,3177,1489
662414,36,3,Saulės,4073,2012
662418,36,5,Aikštės,4627,2266
662422,36,7,Jūros,1513,713
662424,28,1,Geležinkelio,3208,1494
662426,28,3,Šiaulių,2631,1062
662428,28,5,Šermukšnių,2766,1157
662430,28,6,V. Žemkalnio,1875,662
662432,28,8,Laisvės,1811,901
662434,28,9,Poliklinikos,2137,972
662436,28,11,Danutės,1907,969
662438,28,12,Tulpių,2521,1083
662440,27,13,Pilėnai,3451,1645
662442,27,14,Nemuno,4290,2008
662444,27,16,Šermuto,3641,1677
662446,27,17,Parko,2561,1069
662448,27,18,Dariaus ir Girėno,2913,1293
662450,27,19,A. Lipniūno,2438,1208
662452,27,21,Žvaigždutės,2609,1134
662454,27,22,Statybininkų,2577,1229
662456,25,13,J. Janonio,2583,1173
662458,25,18,Kražių,1925,844
662460,25,24,Ragainės,1797,904
662462,26,20,Linkuvos,2374,956
662464,26,22,Zoknių,2185,756
662466,26,23,Pabalių,1678,861
662468,26,27,Verduliukų,3259,1459
662470,16,16,Karmėlavos,1318,669
662472,20,36,Maironio,1659,897
662474,25,29,Žaliūkių,1948,925
662476,26,31,S. Dariaus ir S. Girėno,2254,963
662478,26,33,Lieporių,3049,1429
662480,26,44,Rėkyvos,3999,1686
662482,26,34,Beržyno,2170,1017
662484,52,10,Vilties,1101,355
662486,52,13,Vilties šaltinio,991,324
662488,52,14,Gintarėlio,1173,346
662490,52,16,Žiburio,1171,321
662492,39,2,V. Kudirkos,1799,723
662494,39,3,Respublikos,1689,684
662496,39,6,Akmenės 1-oji,2050,994
662498,39,7,Alkiškių,395,190
662500,67,3,Genių,371,150
662502,1,2,Gedimino,3362,1795
662504,53,18,N. Daugėliškio,616,290
662506,8,369,Pilaitės,4170,2452
662508,11,48,Trakų Vokės,3331,1663
662510,11,78,Liudvinavo,2373,1002
662512,2,401,Vingio,2451,1132
662514,11,403,Geležinio Vilko,1885,836
662518,2,407,Skroblų,2866,1432
662520,9,410,Riešuto,3210,1620
662522,11,411,Titnago,3602,1427
662524,11,412,Aukštųjų Panerių,1272,410
662526,9,414,Akacijų,2390,1138
662528,9,415,Oslo,3767,1736
662530,9,416,Žėručio,2806,1480
662532,9,417,Paparčio,2611,1284
662534,11,451,Salininkų,3177,1177
662536,2,453,Dzūkų,3102,1168
662538,2,454,Kapsų,1925,784
662542,2,456,Kaminkelio,2508,1004
662544,11,460,Kirtimų,1550,527
662546,10,461,Palydovo,2506,1013
662548,10,462,Rugiagėlių,2255,842
662550,10,463,A. Kojelavičiaus,1624,509
662552,10,465,Genių,1526,569
662554,10,466,Pergalės,2932,1123
662556,10,467,Darželio,1908,604
662558,10,469,J. Kolaso,4179,2378
662560,10,470,Parko,3795,1400
662562,10,471,Pramonės,1402,374
662564,11,50,Melioratorių,3451,1351
662566,11,25,Kauno Vokės,3053,1120
662568,11,26,Kunigiškių,3162,1084
662570,11,27,Šviesos,2382,911
662572,46,28,Jakiškių,179,82
662574,46,29,Jauniūnų,228,77
662576,46,30,Maželių,109,49
662578,46,31,Mekių,161,43
662580,46,32,Skilvionių,128,70
662582,46,33,Ziniūnų,240,100
662584,63,1,Kalvarijos Vakarinė,1657,726
662586,63,2,Kalvarijos Rytinė,1685,685
662588,63,3,Jungėnų,1039,404
662590,63,4,Brukų,298,95
662592,63,5,Sūsninkų,253,101
662594,59,2,Gedimino,1361,672
662596,59,3,Girelės,2429,1148
662598,59,4,Lomenos,2117,1012
662600,71,47,Generalinis konsulatas San Paule,119,62
662602,59,5,Kruonio,984,354
662604,59,6,Kalvių,395,184
662606,59,7,Vilūnų,447,197
662608,59,8,Darsūniškio,383,158
662610,59,9,Ringailių,362,162
662612,59,12,Stoniavos,731,334
662614,59,22,Tauckūnų,608,251
662616,59,23,Palomenės,637,267
662618,59,24,Zūbiškių,345,168
662620,59,25,Paparčių,577,218
662622,59,26,Rumšiškių,2034,1023
